id;fecha_cita;fecha_fin_cita;estado;persona_id;establecimiento_id;servicio_id
1;2024-11-08T13:27:35;2024-11-09T01:40:04;OTRO;10827;31498;23834
2;2024-11-08T02:52:38;2024-11-08T03:10:26;PAGADA;25749;2244;19462
3;2024-11-09T00:53:15;2024-11-08T06:38:31;PENDIENTE;22313;4789;6912
4;2024-11-08T16:24:39;2024-11-08T16:49:31;CANCELADA;3578;20517;8028
5;2024-11-08T07:36:43;2024-11-09T00:06:57;PENDIENTE;16233;24509;23755
6;2024-11-08T16:21:44;2024-11-08T14:07:20;CANCELADA;14654;15927;2378
7;2024-11-08T22:13:52;2024-11-08T13:37:56;PAGADA;17242;1487;19346
8;2024-11-09T00:42:45;2024-11-08T21:48:08;OTRO;2735;7343;27449
9;2024-11-08T19:37:42;2024-11-08T18:12:12;CONFIRMADA;17777;31496;27437
10;2024-11-09T01:06:03;2024-11-08T18:57:18;OTRO;19411;20446;17649
