id;nombre;descripcion;url_imagen;establecimiento_id
1;synergy amount inasmuch;lid polarisation doubtfully;taxicab woot;16582
2;brace;detective;yogurt galoshes border;9807
3;aw indeed upsell;whether;while impure extricate;29133
4;procurement simplistic worth;authorized duh;detain even;11925
5;who;airmail;mmm which;27682
6;under hence gadzooks;serialize kindly whoa;corrupt;11047
7;however through feline;accelerator;reproachfully waver;1476
8;grimy until;stale;even;29301
9;between amnesty tender;without incidentally;deceivingly in;22419
10;tabletop yahoo;excepting yowza celebrated;assail between;14808
