id;monto;fecha_pago;metodo_pago;estado;cita_id
1;32045.78;2024-11-09T00:50:46;EFECTIVO;inasmuch;19806
2;14465.94;2024-11-08T17:54:02;OTRO;shadowbox conversation;9047
3;8328.53;2024-11-08T22:45:45;TRANSFERENCIA;tusk;5999
4;10958.5;2024-11-08T20:44:48;TRANSFERENCIA;incidentally;786
5;3781.68;2024-11-08T13:05:15;OTRO;obnoxiously angrily meanwhile;12311
6;5112.92;2024-11-08T23:22:36;TARJETA;hoot grandson;5397
7;11246.92;2024-11-08T03:45:56;TRANSFERENCIA;strait;23231
8;30222.67;2024-11-08T13:47:46;OTRO;an;1217
9;20472.67;2024-11-08T22:30:10;TARJETA;schematise;17605
10;17609.15;2024-11-09T00:55:01;TARJETA;drat delightfully;1951
