id;nombre;descripcion;precio;cantidad;url_img;categoria_producto_id;establecimiento_id
1;draft oof;imagineer per;1813.65;776;yum above tomb;3774;12531
2;how highly;yum jaggedly;25544.87;19671;nervously;14549;5365
3;stiff scheme;midst selfishly clamp;16650.76;31519;incidentally help what;18756;29867
4;carefully whereas aw;reflecting likewise seriously;16389.95;31665;unless scrape;5743;4985
5;nor hepatitis;until so;4954.28;12510;inasmuch;31893;27516
6;dredger;an viciously;5577.15;10426;aha overstay why;25521;22585
7;sedately short;testimonial lobster;11810.75;16019;and excited;24973;112
8;paltry ethical common;like;18554.38;23919;optimal;6022;22797
9;carefully huzzah;or;6249.97;26319;energetically out;123;19031
10;badly;defiantly;30628.71;22379;amid;20439;7185
