id;nombre;descripcion;porcentaje_descuento;fecha_inicio;fecha_fin;tipo_promocion;establecimiento_id;producto_id;servicio_id
1;behest;positively;13471.2;2024-11-09T00:07:17;2024-11-08T18:42:00;jittery whose;22935;19970;19963
2;tousle other forenenst;possession hoot;1845.89;2024-11-08T17:39:22;2024-11-08T08:03:21;crank;28837;25371;126
3;meh whose fellow;yearningly if;6565.88;2024-11-08T09:45:26;2024-11-08T14:26:56;govern quizzically;15638;10180;16735
4;gradient aha slowly;except baseboard oh;8327.31;2024-11-08T06:43:58;2024-11-08T11:37:09;who;2943;28329;11942
5;absent;slime outrageous blindly;1678.44;2024-11-08T18:04:35;2024-11-08T15:27:50;once;17966;14932;32515
6;considerate aboard;how;11686.8;2024-11-08T09:47:11;2024-11-08T17:07:31;deduct;29822;3910;18373
7;suddenly wobbly;swelter denitrify uh-huh;13516.26;2024-11-08T16:08:26;2024-11-09T01:25:01;league;3466;8605;4176
8;delightfully;interestingly;2226.42;2024-11-08T15:42:42;2024-11-08T07:05:50;via;2341;2916;20204
9;around unless;consequently oof;10600.77;2024-11-08T08:42:09;2024-11-08T19:39:22;but;18990;11060;14793
10;when except anti;misfire wherever elegantly;14168.87;2024-11-08T21:58:54;2024-11-08T03:06:56;in doubter;3560;9414;26068
